brand,category,price,product_id,thumbnail_url,url,was_price
Nikai,Large Appliances,"SAR1,849",NRF420F23W,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/i/nikai_refrigerator_top_freezer_2doors_8.58ft_245l_no_frost_white_-_nrf420f23w.jpg,https://blackbox.com.sa/en/nikai-refrigerator-top-freezer-2doors-8-58ft-245l-no-frost-white-nrf420f23w.html,"SAR2,099"
Nikai,Large Appliances,"SAR2,199",NRF240N23S,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/i/nikai_refrigerator_top_freezer_2doors_7.27ft_206l_defrost_steel_-_nrf240n23s.jpg,https://blackbox.com.sa/en/nikai-refrigerator-top-freezer-2doors-7-27ft-206l-defrost-steel-nrf240n23s.html,"SAR4,289"
Nikai,Large Appliances,SAR949,NRF110N23S,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/i/nikai_refrigerator_1_door_3cu.ft_85_ltr_silver_-_nrf110n23s_1.jpg,https://blackbox.com.sa/en/nikai-refrigerator-1door-3cu-ft-85ltr-silver-nrf110n23s.html,"SAR1,399"
Nikai,Large Appliances,SAR799,NCF275N23W,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/i/nikai_chest_freezer_7_ft_199_l_safety_lock_key_white_-_ncf275n23w.jpg,https://blackbox.com.sa/en/nikai-chest-freezer-7ft-199l-safety-lock-key-white-ncf275n23w.html,"SAR1,099"
Gree,Air Conditioners & Accessories,"SAR4,199",GWC30AGE-D3NTA1A/I/O,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/g/w/gwc12agc-d3nta1a_i_o_-_blackbox_1_1_1_1_1_1.jpeg,https://blackbox.com.sa/en/gree-split-air-conditioner-polar-2020-27200-btu-cool-only-wifi-energy-saver-freon410-gwc30age-d3nta1a-i-o-installation-service-available-below-only-available-for-riyadh.html,"SAR5,800"
General,Air Conditioners & Accessories,"SAR3,999",ASSA18FUTA/AOSA18FUTAH,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/g/e/general_split_air_conditioner_19600btu_cold_only_thailand_-_assa18futa_aosa18futah.jpg,https://blackbox.com.sa/en/general-split-air-conditioner-19600btu-cold-only-thailand.html,"SAR4,999"
Panasonic,Air Conditioners & Accessories,"SAR3,799",CS/CU-YW30WKS,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/a/panasonic_split_air_conditioner_28600btu_hotcold_4way_swing_-_cscu-yw30wks.jpg,https://blackbox.com.sa/en/panasonic-split-air-conditioner-28600btu-hot-cold-4way-swing-cscu-yw30wks.html,"SAR5,799"
Panasonic,Air Conditioners & Accessories,"SAR3,649",CS/CU-YV30WKS,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/a/panasonic_split_air_conditioner_28600btu_cold_only_golden_fin_-_cscu-yv30wks.jpg,https://blackbox.com.sa/en/panasonic-split-air-conditioner-28600btu-cold-only-golden-fin-cs-cu-yv30wks.html,"SAR5,499"
LG,Air Conditioners & Accessories,"SAR3,639",NF242H,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/n/f/nf242h_-_blackbox.jpg,https://blackbox.com.sa/en/lg-split-ac-nf242h-capacity-22000-hot-cool-inverter-fresh.html,"SAR5,889"
MANDO,Air Conditioners & Accessories,"SAR3,499",MP-NF23-30H,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/p/mp-nf23-30h.jpg,https://blackbox.com.sa/en/mando-plus-split-air-conditioner-27000btu-hot-cold-wifi-white.html,"SAR4,599"
